ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158
Major Arterial,Toronto and East York,43.644545,-79.38219,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,165
Major Arterial,Toronto and East York,43.644545,-79.38219,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,165
Major Arterial,Toronto and East York,43.677545,-79.35199,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Driver,40 to 59,Major,No,No,Yes,No,No,No,No,No,No,No,No,No,No,68
Major Arterial,North York,43.702345,-79.45209,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,108
Major Arterial,North York,43.702345,-79.45209,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,40 to 59,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,108
Major Arterial,North York,43.732445,-79.45729,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,155
Major Arterial,North York,43.732445,-79.45729,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,155
Major Arterial,North York,43.732445,-79.45729,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,155
Major Arterial,North York,43.732445,-79.45729,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,155
Major Arterial,North York,43.732445,-79.45729,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,155
Major Arterial,North York,43.732445,-79.45729,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,60 to 79,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,155
Major Arterial,Toronto and East York,43.690345,-79.29209,Other,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Driver,unknown,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,61
Major Arterial,Toronto and East York,43.690345,-79.29209,Other,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian,unknown,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,61
Major Arterial,Toronto and East York,43.662945,-79.37689,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,0 to 19,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,71
Major Arterial,Toronto and East York,43.662945,-79.37689,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,71
Major Arterial,North York,43.789145,-79.37329,Other,Traffic Signal,Clear,Dark,Dry,Fatal,Driver,over 79,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,52
Major Arterial,North York,43.789145,-79.37329,Other,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian,60 to 79,Fatal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,52
Major Arterial,North York,43.728845,-79.30439,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,43
Major Arterial,North York,43.728845,-79.30439,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,43
Major Arterial,North York,43.728845,-79.30439,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,43
Major Arterial,North York,43.728845,-79.30439,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,43
Major Arterial,Scarborough,43.759045,-79.22839,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,141
Major Arterial,Scarborough,43.759045,-79.22839,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,over 79,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,141
Major Arterial,Etobicoke York,43.675945,-79.47039,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,90
Major Arterial,Etobicoke York,43.675945,-79.47039,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,90
Major Arterial,Etobicoke York,43.675945,-79.47039,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,90
Local,Scarborough,43.775645,-79.30289,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,118
Local,Scarborough,43.775645,-79.30289,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,118
Local,Scarborough,43.775645,-79.30289,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,118
Local,Scarborough,43.775645,-79.30289,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,118
Major Arterial,Toronto and East York,43.686145,-79.31069,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,60 to 79,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,62
Major Arterial,Toronto and East York,43.686145,-79.31069,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,unknown,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,62
Major Arterial,Toronto and East York,43.672145,-79.44059,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,171
Major Arterial,Etobicoke York,43.773345,-79.53179,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,60 to 79,Major,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NSA
Major Arterial,Etobicoke York,43.773345,-79.53179,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,40 to 59,Major,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,NSA
Major Arterial,Etobicoke York,43.734045,-79.56389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Major,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3
Major Arterial,Etobicoke York,43.734045,-79.56389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3
Major Arterial,North York,43.711045,-79.37719,Other,Traffic Signal,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,99
Major Arterial,North York,43.711045,-79.37719,Other,Traffic Signal,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,60 to 79,Major,No,No,Yes,No,No,No,No,No,No,No,No,No,No,99
Major Arterial,North York,43.755045,-79.35029,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Minor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,42
Major Arterial,North York,43.755045,-79.35029,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,0 to 19,Major,No,No,Yes,No,No,No,No,No,No,No,No,No,No,42
Major Arterial,Toronto and East York,43.677945,-79.44309,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92
Major Arterial,Scarborough,43.737645,-79.24369,Other,No Control,Not Clear,Dark,Wet,Fatal,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,138
Major Arterial,Scarborough,43.737645,-79.24369,Other,No Control,Not Clear,Dark,Wet,Fatal,Pedestrian,20 to 39,Fatal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,138
Local,Etobicoke York,43.684345,-79.56499,Other,No Control,Clear,Dark,Wet,Fatal,Driver,over 79,Minimal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,7
Local,Etobicoke York,43.684345,-79.56499,Other,No Control,Clear,Dark,Wet,Fatal,Pedestrian,60 to 79,Fatal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,7
Major Arterial,North York,43.737545,-79.42059,At Intersection,Traffic Signal,Clear,Dark,Wet,Fatal,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,39
Major Arterial,North York,43.737545,-79.42059,At Intersection,Traffic Signal,Clear,Dark,Wet,Fatal,Pedestrian,60 to 79,Fatal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,39
Local,Scarborough,43.794945,-79.29049,At Intersection,Stop Sign,Clear,Dark,Wet,Non-Fatal Injury,Driver,60 to 79,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,118
Local,Scarborough,43.794945,-79.29049,At Intersection,Stop Sign,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian,0 to 19,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,118
Collector,North York,43.718345,-79.33139,Other,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,44
Collector,North York,43.718345,-79.33139,Other,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Pedestrian,0 to 19,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,44
Major Arterial,Etobicoke York,43.714745,-79.58519,Other,No Control,Clear,Dark,Dry,Fatal,Passenger,20 to 39,Fatal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Major Arterial,Etobicoke York,43.714745,-79.58519,Other,No Control,Clear,Dark,Dry,Fatal,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Major Arterial,Etobicoke York,43.714745,-79.58519,Other,No Control,Clear,Dark,Dry,Fatal,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Minor Arterial,Toronto and East York,43.687645,-79.42369,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Passenger,0 to 19,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,106
Minor Arterial,Toronto and East York,43.687645,-79.42369,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,106
Minor Arterial,Toronto and East York,43.687645,-79.42369,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,106
Minor Arterial,Toronto and East York,43.687645,-79.42369,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,106
Minor Arterial,Toronto and East York,43.687645,-79.42369,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,106
Minor Arterial,Toronto and East York,43.687645,-79.42369,At Intersection,Traffic Signal,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,106
Local,Etobicoke York,43.722345,-79.51489,At Intersection,Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,Driver,60 to 79,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,154
Local,Etobicoke York,43.722345,-79.51489,At Intersection,Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian,over 79,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,154
Major Arterial,North York,43.793545,-79.33699,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,46
Major Arterial,North York,43.793545,-79.33699,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,40 to 59,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,46
Collector,Scarborough,43.796745,-79.23579,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,145
Collector,Scarborough,43.796745,-79.23579,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,145
Collector,Scarborough,43.796745,-79.23579,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,60 to 79,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,145
Local,Scarborough,43.749845,-79.23979,Other,No Control,Not Clear,Dark,Wet,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,157
Local,Scarborough,43.749845,-79.23979,Other,No Control,Not Clear,Dark,Wet,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,157
Local,Scarborough,43.749845,-79.23979,Other,No Control,Not Clear,Dark,Wet,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,157
Local,Scarborough,43.749845,-79.23979,Other,No Control,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,157
Minor Arterial,Etobicoke York,43.682045,-79.47199,At Intersection,No Control,Not Clear,Dusk,Wet,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,110
Minor Arterial,Etobicoke York,43.682045,-79.47199,At Intersection,No Control,Not Clear,Dusk,Wet,Non-Fatal Injury,Pedestrian,over 79,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,110
Major Arterial,Etobicoke York,43.750545,-79.54969,Other,No Control,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,unknown,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,21
Major Arterial,Etobicoke York,43.750545,-79.54969,Other,No Control,Not Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian,40 to 59,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,21
Major Arterial,Etobicoke York,43.714745,-79.53669,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,Minor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,23
Major Arterial,Etobicoke York,43.714745,-79.53669,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,Major,No,No,Yes,No,No,No,No,No,No,No,No,No,No,23
Major Arterial,Scarborough,43.791045,-79.29169,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Minor,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,118
Major Arterial,Scarborough,43.791045,-79.29169,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,over 79,Major,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,118
Major Arterial,North York,43.782845,-79.40149,At Intersection,No Control,Not Clear,Dark,Wet,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,152
Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Passenger,0 to 19,Minor,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,168
Major Arterial,North York,43.763245,-79.41139,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,38
Major Arterial,Toronto and East York,43.640945,-79.41719,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,60 to 79,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,162
Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,168
Major Arterial,Etobicoke York,43.686145,-79.59529,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,1
Local,Toronto and East York,43.696245,-79.35369,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,57
Major Arterial,Toronto and East York,43.656645,-79.38109,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,170
Major Arterial,Toronto and East York,43.661345,-79.35759,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,No,No,No,No,No,No,No,No,No,72
Major Arterial,Toronto and East York,43.667245,-79.31259,Other,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Driver,60 to 79,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,63
Major Arterial,Toronto and East York,43.672145,-79.44059,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,171
Minor Arterial,Toronto and East York,43.664045,-79.42649,Other,Other,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,172
Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,168
Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,168
Major Arterial,Toronto and East York,43.696145,-79.39619,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,174
Major Arterial,Toronto and East York,43.696145,-79.39619,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,0 to 19,Minor,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,174
Major Arterial,North York,43.761845,-79.41099,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,151
Major Arterial,North York,43.761845,-79.41099,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,151
Other,Scarborough,43.706145,-79.23599,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,unknown,Major,Yes,No,No,No,No,No,No,No,No,No,No,No,No,123
Other,Scarborough,43.706145,-79.23599,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,123
Other,Scarborough,43.706145,-79.23599,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,123
Minor Arterial,Scarborough,43.783245,-79.17069,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Major,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,133
Minor Arterial,Scarborough,43.783245,-79.17069,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,133
Major Arterial,Toronto and East York,43.640945,-79.41719,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist,20 to 39,Major,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,162
Minor Arterial,Scarborough,43.783245,-79.17069,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,133
Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,60 to 79,Major,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,118
Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,118
Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,118
Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,118
Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,118
Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,118
Major Arterial,Etobicoke York,43.678945,-79.55169,Other,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,60 to 79,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,7
Major Arterial,Etobicoke York,43.678945,-79.55169,Other,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Passenger,60 to 79,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,7
Major Arterial,Etobicoke York,43.678945,-79.55169,Other,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,60 to 79,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,7
Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,144
Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,40 to 59,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,144
Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,144
Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,144
Major Arterial,Etobicoke York,43.645845,-79.52389,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,158
Major Arterial,Etobicoke York,43.645845,-79.52389,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,60 to 79,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,158
Major Arterial,Etobicoke York,43.684445,-79.50809,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,111
Major Arterial,Etobicoke York,43.684445,-79.50809,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,over 79,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,111
Major Arterial,Etobicoke York,43.694245,-79.55859,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,Minor,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,6
Major Arterial,Etobicoke York,43.694245,-79.55859,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Major,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,6
Major Arterial,Etobicoke York,43.694245,-79.55859,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,6
Major Arterial,North York,43.750745,-79.38469,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,40
Major Arterial,North York,43.750745,-79.38469,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,60 to 79,Major,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,40
Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,146
Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,146
Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,146
Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,60 to 79,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,146
Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,146
